ORDERNUMBER	QUANTITYORDERED	PRICEEACH	ORDERLINENUMBER	SALES	ORDERDATE	STATUS	QTR_ID	MONTH_ID	YEAR_ID	PRODUCTLINE	MSRP	PRODUCTCODE	CUSTOMERNAME	PHONE	ADDRESSLINE1	ADDRESSLINE2	CITY	STATE	POSTALCODE	COUNTRY	TERRITORY
10270	21	100	9	4905.39	7/19/2004 0:00	Shipped	3	7	2004	Classic Cars	214	S10_1949	Souveniers And Things Co.	+61 2 9495 8555	Monitor Money Building, 815 Pacific Hwy	Level 6	Chatswood	NSW	2067	Australia	APAC
10280	34	100	2	8014.82	8/17/2004 0:00	Shipped	3	8	2004	Classic Cars	214	S10_1949	Amica Models & Co.	011-4988555	Via Monte Bianco 34		Torino		10100	Italy	EMEA
10291	37	100	11	7136.19	9/8/2004 0:00	Shipped	3	9	2004	Classic Cars	214	S10_1949	Scandinavian Gift Ideas	0695-34 6555	?kergatan 24		Boras		S-844 67	Sweden	EMEA
10304	47	100	6	10172.7	10/11/2004 0:00	Shipped	4	10	2004	Classic Cars	214	S10_1949	Auto Assoc. & Cie.	30.59.8555	67, avenue de l'Europe		Versailles		78000	France	EMEA
10312	48	100	3	11623.7	10/21/2004 0:00	Shipped	4	10	2004	Classic Cars	214	S10_1949	Mini Gifts Distributors Ltd.	4155551450	5677 Strong St.		San Rafael	CA	97562	USA	NA
10322	40	100	1	6000.4	11/4/2004 0:00	Shipped	4	11	2004	Classic Cars	214	S10_1949	Online Diecast Creations Co.	6035558647	2304 Long Airport Avenue		Nashua	NH	62005	USA	NA
10333	26	100	3	3003	11/18/2004 0:00	Shipped	4	11	2004	Classic Cars	214	S10_1949	Mini Wheels Co.	6505555787	5557 North Pendale Street		San Francisco	CA		USA	NA
10347	30	100	1	3944.7	11/29/2004 0:00	Shipped	4	11	2004	Classic Cars	214	S10_1949	Australian Collectors, Co.	03 9520 4555	636 St Kilda Road	Level 3	Melbourne	Victoria	3004	Australia	APAC
10357	32	100	10	5691.84	12/10/2004 0:00	Shipped	4	12	2004	Classic Cars	214	S10_1949	Mini Gifts Distributors Ltd.	4155551450	5677 Strong St.		San Rafael	CA	97562	USA	NA
10369	41	100	2	4514.92	1/20/2005 0:00	Shipped	1	1	2005	Classic Cars	214	S10_1949	Collectables For Less Inc.	6175558555	7825 Douglas Av.		Brickhaven	MA	58339	USA	NA
10381	36	100	3	8254.8	2/17/2005 0:00	Shipped	1	2	2005	Classic Cars	214	S10_1949	Corporate Gift Ideas Co.	6505551386	7734 Strong St.		San Francisco	CA		USA	NA
10391	24	100	4	2416.56	3/9/2005 0:00	Shipped	1	3	2005	Classic Cars	214	S10_1949	Anna's Decorations, Ltd	02 9936 8555	201 Miller Street	Level 15	North Sydney	NSW	2060	Australia	APAC
10411	23	100	9	4140.23	5/1/2005 0:00	Shipped	2	5	2005	Classic Cars	214	S10_1949	Quebec Home Shopping Network	(514) 555-8054	43 rue St. Laurent		Montreal	Quebec	H1J 1C3	Canada	NA
10424	50	100	6	12001	5/31/2005 0:00	In Process	2	5	2005	Classic Cars	214	S10_1949	Euro Shopping Channel	(91) 555 94 44	C/ Moralzarzal, 86		Madrid		28034	Spain	EMEA
10107	39	99.91	5	3896.49	2/24/2003 0:00	Shipped	1	2	2003	Motorcycles	118	S10_2016	Land of Toys Inc.	2125557818	897 Long Airport Avenue		NYC	NY	10022	USA	NA
10120	29	96.34	3	2793.86	4/29/2003 0:00	Shipped	2	4	2003	Motorcycles	118	S10_2016	Australian Collectors, Co.	03 9520 4555	636 St Kilda Road	Level 3	Melbourne	Victoria	3004	Australia	APAC
10134	27	100	5	3307.77	7/1/2003 0:00	Shipped	3	7	2003	Motorcycles	118	S10_2016	Lyon Souveniers	+33 1 46 62 7555	27 rue du Colonel Pierre Avia		Paris		75508	France	EMEA
10145	37	100	9	5192.95	8/25/2003 0:00	Shipped	3	8	2003	Motorcycles	118	S10_2016	Toys4GrownUps.com	6265557265	78934 Hillside Dr.		Pasadena	CA	90003	USA	NA
10159	37	100	17	5016.83	10/10/2003 0:00	Shipped	4	10	2003	Motorcycles	118	S10_2016	Corporate Gift Ideas Co.	6505551386	7734 Strong St.		San Francisco	CA		USA	NA
10168	27	100	4	3660.93	10/28/2003 0:00	Shipped	4	10	2003	Motorcycles	118	S10_2016	Technics Stores Inc.	6505556809	9408 Furth Circle		Burlingame	CA	94217	USA	NA
10180	42	100	12	4695.6	11/11/2003 0:00	Shipped	4	11	2003	Motorcycles	118	S10_2016	Daedalus Designs Imports	20.16.1555	184, chausse de Tournai		Lille		59000	France	EMEA
10188	38	96.34	4	3660.92	11/18/2003 0:00	Shipped	4	11	2003	Motorcycles	118	S10_2016	Herkku Gifts	+47 2267 3215	Drammen 121, PR 744 Sentrum		Bergen		N 5804	Norway	EMEA
10201	24	100	5	3025.92	12/1/2003 0:00	Shipped	4	12	2003	Motorcycles	118	S10_2016	Mini Wheels Co.	6505555787	5557 North Pendale Street		San Francisco	CA		USA	NA
10210	23	100	2	3009.09	1/12/2004 0:00	Shipped	1	1	2004	Motorcycles	118	S10_2016	Osaka Souveniers Co.	+81 06 6342 5555	Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku		Osaka	Osaka	530-0003	Japan	Japan
10223	47	100	4	5422.39	2/20/2004 0:00	Shipped	1	2	2004	Motorcycles	118	S10_2016	Australian Collectors, Co.	03 9520 4555	636 St Kilda Road	Level 3	Melbourne	Victoria	3004	Australia	APAC
10236	22	100	1	2852.08	4/3/2004 0:00	Shipped	2	4	2004	Motorcycles	118	S10_2016	Motor Mint Distributors Inc.	2155559857	11328 Douglas Av.		Philadelphia	PA	71270	USA	NA
10251	44	100	5	5756.52	5/18/2004 0:00	Shipped	2	5	2004	Motorcycles	118	S10_2016	Tekni Collectables Inc.	2015559350	7476 Moss Rd.		Newark	NJ	94019	USA	NA
10263	40	100	5	4472	6/28/2004 0:00	Shipped	2	6	2004	Motorcycles	118	S10_2016	Gift Depot Inc.	2035552570	25593 South Bay Ln.		Bridgewater	CT	97562	USA	NA
10275	22	100	4	2904.44	7/23/2004 0:00	Shipped	3	7	2004	Motorcycles	118	S10_2016	La Rochelle Gifts	40.67.8555	67, rue des Cinquante Otages		Nantes		44000	France	EMEA
10285	47	100	9	6484.59	8/27/2004 0:00	Shipped	3	8	2004	Motorcycles	118	S10_2016	Marta's Replicas Co.	6175558555	39323 Spinnaker Dr.		Cambridge	MA	51247	USA	NA
10298	39	96.34	1	3757.26	9/27/2004 0:00	Shipped	3	9	2004	Motorcycles	118	S10_2016	Atelier graphique	40.32.2555	54, rue Royale		Nantes		44000	France	EMEA
10308	34	100	2	4043.96	10/15/2004 0:00	Shipped	4	10	2004	Motorcycles	118	S10_2016	Mini Classics	9145554562	3758 North Pendale Street		White Plains	NY	24067	USA	NA
10318	45	100	4	5566.5	11/2/2004 0:00	Shipped	4	11	2004	Motorcycles	118	S10_2016	Diecast Classics Inc.	2155551555	7586 Pompton St.		Allentown	PA	70267	USA	NA
10329	20	100	2	3176	11/15/2004 0:00	Shipped	4	11	2004	Motorcycles	118	S10_2016	Land of Toys Inc.	2125557818	897 Long Airport Avenue		NYC	NY	10022	USA	NA
10339	40	68.92	4	2756.8	11/23/2004 0:00	Shipped	4	11	2004	Motorcycles	118	S10_2016	Tokyo Collectables, Ltd	+81 3 3584 0555	2-2-8 Roppongi		Minato-ku	Tokyo	106-0032	Japan	Japan
10361	26	51.15	8	1329.9	12/17/2004 0:00	Shipped	4	12	2004	Motorcycles	118	S10_2016	Souveniers And Things Co.	+61 2 9495 8555	Monitor Money Building, 815 Pacific Hwy	Level 6	Chatswood	NSW	2067	Australia	APAC
10374	39	100	5	5288.01	2/2/2005 0:00	Shipped	1	2	2005	Motorcycles	118	S10_2016	Australian Gift Network, Co	61-7-3844-6555	31 Duncan St. West End		South Brisbane	Queensland	4101	Australia	APAC
10388	50	44.51	5	2225.5	3/3/2005 0:00	Shipped	1	3	2005	Motorcycles	118	S10_2016	FunGiftIdeas.com	5085552555	1785 First Street		New Bedford	MA	50553	USA	NA
10402	45	100	1	5833.8	4/7/2005 0:00	Shipped	2	4	2005	Motorcycles	118	S10_2016	Auto Canal Petit	(1) 47.55.6555	25, rue Lauriston		Paris		75016	France	EMEA
10417	45	100	5	5887.35	5/13/2005 0:00	Disputed	2	5	2005	Motorcycles	118	S10_2016	Euro Shopping Channel	(91) 555 94 44	C/ Moralzarzal, 86		Madrid		28034	Spain	EMEA
10107	27	100	4	6065.55	2/24/2003 0:00	Shipped	1	2	2003	Motorcycles	193	S10_4698	Land of Toys Inc.	2125557818	897 Long Airport Avenue		NYC	NY	10022	USA	NA
10120	46	100	2	9264.86	4/29/2003 0:00	Shipped	2	4	2003	Motorcycles	193	S10_4698	Australian Collectors, Co.	03 9520 4555	636 St Kilda Road	Level 3	Melbourne	Victoria	3004	Australia	APAC
10134	31	100	4	7023.98	7/1/2003 0:00	Shipped	3	7	2003	Motorcycles	193	S10_4698	Lyon Souveniers	+33 1 46 62 7555	27 rue du Colonel Pierre Avia		Paris		75508	France	EMEA
10145	33	100	8	5176.38	8/25/2003 0:00	Shipped	3	8	2003	Motorcycles	193	S10_4698	Toys4GrownUps.com	6265557265	78934 Hillside Dr.		Pasadena	CA	90003	USA	NA
10159	22	100	16	4132.7	10/10/2003 0:00	Shipped	4	10	2003	Motorcycles	193	S10_4698	Corporate Gift Ideas Co.	6505551386	7734 Strong St.		San Francisco	CA		USA	NA
10168	20	100	3	4183	10/28/2003 0:00	Shipped	4	10	2003	Motorcycles	193	S10_4698	Technics Stores Inc.	6505556809	9408 Furth Circle		Burlingame	CA	94217	USA	NA
10180	41	100	11	8892.9	11/11/2003 0:00	Shipped	4	11	2003	Motorcycles	193	S10_4698	Daedalus Designs Imports	20.16.1555	184, chausse de Tournai		Lille		59000	France	EMEA
10188	45	100	3	8714.7	11/18/2003 0:00	Shipped	4	11	2003	Motorcycles	193	S10_4698	Herkku Gifts	+47 2267 3215	Drammen 121, PR 744 Sentrum		Bergen		N 5804	Norway	EMEA
10201	49	100	4	8065.89	12/1/2003 0:00	Shipped	4	12	2003	Motorcycles	193	S10_4698	Mini Wheels Co.	6505555787	5557 North Pendale Street		San Francisco	CA		USA	NA
10210	34	100	1	6123.4	1/12/2004 0:00	Shipped	1	1	2004	Motorcycles	193	S10_4698	Osaka Souveniers Co.	+81 06 6342 5555	Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku		Osaka	Osaka	530-0003	Japan	Japan
10223	49	100	3	9774.03	2/20/2004 0:00	Shipped	1	2	2004	Motorcycles	193	S10_4698	Australian Collectors, Co.	03 9520 4555	636 St Kilda Road	Level 3	Melbourne	Victoria	3004	Australia	APAC
10237	39	100	9	7023.9	4/5/2004 0:00	Shipped	2	4	2004	Motorcycles	193	S10_4698	Vitachrome Inc.	2125551500	2678 Kingston Rd.	Suite 101	NYC	NY	10022	USA	NA
10251	43	100	4	7078.23	5/18/2004 0:00	Shipped	2	5	2004	Motorcycles	193	S10_4698	Tekni Collectables Inc.	2015559350	7476 Moss Rd.		Newark	NJ	94019	USA	NA
10263	41	100	4	8336.94	6/28/2004 0:00	Shipped	2	6	2004	Motorcycles	193	S10_4698	Gift Depot Inc.	2035552570	25593 South Bay Ln.		Bridgewater	CT	97562	USA	NA
10275	36	100	3	6901.92	7/23/2004 0:00	Shipped	3	7	2004	Motorcycles	193	S10_4698	La Rochelle Gifts	40.67.8555	67, rue des Cinquante Otages		Nantes		44000	France	EMEA
10285	27	100	8	5438.07	8/27/2004 0:00	Shipped	3	8	2004	Motorcycles	193	S10_4698	Marta's Replicas Co.	6175558555	39323 Spinnaker Dr.		Cambridge	MA	51247	USA	NA
10299	29	100	11	6683.34	9/30/2004 0:00	Shipped	3	9	2004	Motorcycles	193	S10_4698	Toys of Finland, Co.	90-224 8555	Keskuskatu 45		Helsinki		21240	Finland	EMEA
10308	20	100	1	4570.4	10/15/2004 0:00	Shipped	4	10	2004	Motorcycles	193	S10_4698	Mini Classics	9145554562	3758 North Pendale Street		White Plains	NY	24067	USA	NA
10318	37	100	3	7667.14	11/2/2004 0:00	Shipped	4	11	2004	Motorcycles	193	S10_4698	Diecast Classics Inc.	2155551555	7586 Pompton St.		Allentown	PA	70267	USA	NA
10329	26	100	3	5868.2	11/15/2004 0:00	Shipped	4	11	2004	Motorcycles	193	S10_4698	Land of Toys Inc.	2125557818	897 Long Airport Avenue		NYC	NY	10022	USA	NA
10339	39	76.67	3	2990.13	11/23/2004 0:00	Shipped	4	11	2004	Motorcycles	193	S10_4698	Tokyo Collectables, Ltd	+81 3 3584 0555	2-2-8 Roppongi		Minato-ku	Tokyo	106-0032	Japan	Japan
10362	22	100	4	3664.1	1/5/2005 0:00	Shipped	1	1	2005	Motorcycles	193	S10_4698	Technics Stores Inc.	6505556809	9408 Furth Circle		Burlingame	CA	94217	USA	NA
10374	22	100	1	3834.38	2/2/2005 0:00	Shipped	1	2	2005	Motorcycles	193	S10_4698	Australian Gift Network, Co	61-7-3844-6555	31 Duncan St. West End		South Brisbane	Queensland	4101	Australia	APAC
10388	21	86.77	7	1822.17	3/3/2005 0:00	Shipped	1	3	2005	Motorcycles	193	S10_4698	FunGiftIdeas.com	5085552555	1785 First Street		New Bedford	MA	50553	USA	NA
10403	66	100	9	11886.6	4/8/2005 0:00	Shipped	2	4	2005	Motorcycles	193	S10_4698	UK Collectables, Ltd.	(171) 555-2282	Berkeley Gardens 12  Brewery		Liverpool		WX1 6LT	UK	EMEA
10417	56	100	4	9218.16	5/13/2005 0:00	Disputed	2	5	2005	Motorcycles	193	S10_4698	Euro Shopping Channel	(91) 555 94 44	C/ Moralzarzal, 86		Madrid		28034	Spain	EMEA
10105	50	100	2	7208	2/11/2003 0:00	Shipped	1	2	2003	Classic Cars	136	S10_4757	Danish Wholesale Imports	31 12 3555	Vinb'ltet 34		Kobenhavn		1734	Denmark	EMEA
10119	46	100	11	5004.8	4/28/2003 0:00	Shipped	2	4	2003	Classic Cars	136	S10_4757	Salzburg Collectables	6562-9555	Geislweg 14		Salzburg		5020	Austria	EMEA
10129	33	100	2	4398.24	6/12/2003 0:00	Shipped	2	6	2003	Classic Cars	136	S10_4757	Stylish Desk Decors, Co.	(171) 555-0297	35 King George		London		WX3 6FW	UK	EMEA
10143	49	100	15	5597.76	8/10/2003 0:00	Shipped	3	8	2003	Classic Cars	136	S10_4757	Mini Creations Ltd.	5085559555	4575 Hillside Dr.		New Bedford	MA	50553	USA	NA
10155	32	100	13	4526.08	10/6/2003 0:00	Shipped	4	10	2003	Classic Cars	136	S10_4757	Toys of Finland, Co.	90-224 8555	Keskuskatu 45		Helsinki		21240	Finland	EMEA
10167	44	100	9	5924.16	10/23/2003 0:00	Cancelled	4	10	2003	Classic Cars	136	S10_4757	Scandinavian Gift Ideas	0695-34 6555	?kergatan 24		Boras		S-844 67	Sweden	EMEA
10178	24	100	12	3492.48	11/8/2003 0:00	Shipped	4	11	2003	Classic Cars	136	S10_4757	Alpha Cognac	61.77.6555	1 rue Alsace-Lorraine		Toulouse		31000	France	EMEA
10186	26	100	9	3854.24	11/14/2003 0:00	Shipped	4	11	2003	Classic Cars	136	S10_4757	Double Decker Gift Stores, Ltd	(171) 555-7555	120 Hanover Sq.		London		WA1 1DP	UK	EMEA
10197	45	100	6	5324.4	11/26/2003 0:00	Shipped	4	11	2003	Classic Cars	136	S10_4757	Enaco Distributors	(93) 203 4555	FALSE		Barcelona		8022	Spain	EMEA
10209	39	100	8	5197.92	1/9/2004 0:00	Shipped	1	1	2004	Classic Cars	136	S10_4757	Men 'R' US Retailers, Ltd.	2155554369	6047 Douglas Av.		Los Angeles	CA		USA	NA
10222	49	100	12	5997.6	2/19/2004 0:00	Shipped	1	2	2004	Classic Cars	136	S10_4757	Collectable Mini Designs Co.	7605558146	361 Furth Circle		San Diego	CA	91217	USA	NA
10248	20	100	3	2910.4	5/7/2004 0:00	Cancelled	2	5	2004	Classic Cars	136	S10_4757	Land of Toys Inc.	2125557818	897 Long Airport Avenue		NYC	NY	10022	USA	NA
10261	27	100	1	3378.24	6/17/2004 0:00	Shipped	2	6	2004	Classic Cars	136	S10_4757	Quebec Home Shopping Network	(514) 555-8054	43 rue St. Laurent		Montreal	Quebec	H1J 1C3	Canada	NA
10273	30	100	4	3508.8	7/21/2004 0:00	Shipped	3	7	2004	Classic Cars	136	S10_4757	Petit Auto	(02) 5554 67	Rue Joseph-Bens 532		Bruxelles		B-1180	Belgium	EMEA
10283	25	100	6	2992	8/20/2004 0:00	Shipped	3	8	2004	Classic Cars	136	S10_4757	Royal Canadian Collectables, Ltd.	(604) 555-4555	23 Tsawassen Blvd.		Tsawassen	BC	T2F 8M4	Canada	NA
10295	24	100	1	3427.2	9/10/2004 0:00	Shipped	3	9	2004	Classic Cars	136	S10_4757	Gifts4AllAges.com	6175559555	8616 Spinnaker Dr.		Boston	MA	51003	USA	NA
10307	22	100	9	2692.8	10/14/2004 0:00	Shipped	4	10	2004	Classic Cars	136	S10_4757	Classic Gift Ideas, Inc	2155554695	782 First Street		Philadelphia	PA	71270	USA	NA
10316	33	100	17	4128.96	11/1/2004 0:00	Shipped	4	11	2004	Classic Cars	136	S10_4757	giftsbymail.co.uk	(198) 555-8888	Garden House Crowther Way		Cowes	Isle of Wight	PO31 7PJ	UK	EMEA
10325	47	64.93	6	3051.71	11/5/2004 0:00	Shipped	4	11	2004	Classic Cars	136	S10_4757	Baane Mini Imports	07-98 9555	Erling Skakkes gate 78		Stavern		4110	Norway	EMEA
10337	25	48.05	8	1201.25	11/21/2004 0:00	Shipped	4	11	2004	Classic Cars	136	S10_4757	Classic Legends Inc.	2125558493	5905 Pompton St.	Suite 750	NYC	NY	10022	USA	NA
10350	26	75.47	5	1962.22	12/2/2004 0:00	Shipped	4	12	2004	Classic Cars	136	S10_4757	Euro Shopping Channel	(91) 555 94 44	C/ Moralzarzal, 86		Madrid		28034	Spain	EMEA
10359	48	54.68	6	2624.64	12/15/2004 0:00	Shipped	4	12	2004	Classic Cars	136	S10_4757	Reims Collectables	26.47.1555	59 rue de l'Abbaye		Reims		51100	France	EMEA
10373	39	100	3	4046.25	1/31/2005 0:00	Shipped	1	1	2005	Classic Cars	136	S10_4757	Oulu Toy Supplies, Inc.	981-443655	Torikatu 38		Oulu		90110	Finland	EMEA
10384	34	100	4	4846.7	2/23/2005 0:00	Shipped	1	2	2005	Classic Cars	136	S10_4757	Corporate Gift Ideas Co.	6505551386	7734 Strong St.		San Francisco	CA		USA	NA
10395	32	100	2	3370.56	3/17/2005 0:00	Shipped	1	3	2005	Classic Cars	136	S10_4757	Lyon Souveniers	+33 1 46 62 7555	27 rue du Colonel Pierre Avia		Paris		75508	France	EMEA
10400	64	100	9	9661.44	4/1/2005 0:00	Shipped	2	4	2005	Classic Cars	136	S10_4757	The Sharp Gifts Warehouse	4085553659	3086 Ingle Ln.		San Jose	CA	94217	USA	NA
10414	19	100	3	2764.88	5/6/2005 0:00	On Hold	2	5	2005	Classic Cars	136	S10_4757	Gifts4AllAges.com	6175559555	8616 Spinnaker Dr.		Boston	MA	51003	USA	NA
10103	42	100	4	5398.26	1/29/2003 0:00	Shipped	1	1	2003	Classic Cars	147	S10_4962	Baane Mini Imports	07-98 9555	Erling Skakkes gate 78		Stavern		4110	Norway	EMEA
